Measure,Day,Tâ„ƒ,Biol. rep,Techn. rep,data rep.,ESE00516,ESE00518,ESE00534,ESE00536,ESE00537,ESE00538,ESE00544,ESE00551,LMA0040,LMA0070,LMA0077,LMA0244,LMA0317,LMA0563,LMA1028,LMA1146,LMA1147,LMA1148,LMA1816,LMA1817,LMA1820,LMA1821,LMA1822,LMA1825,LMA1827,LMA1829,LMA1831,LMA1833,LMA1840,LMA1841,LMA1845,LMA1846,LMA1847,LMA1848,LMA1849
Growth,7,15,1,A,1,29,40,40,46,36,36,44,47,46,54,39,42,44,19,46,40,,,41,44,38,55,43,39,28,39,39,40,36,34,,45,40,40,35
Growth,7,15,1,A,2,29,36,,40,37,50,47,49,42,45,,42,,19,43,39,,,50,49,36,43,41,35,29,37,38,35,38,34,,49,42,,32
Growth,7,15,1,A,3,29,38,,45,38,50,44,47,45,42,,43,,20,45,37,,,44,45,36,51,41,38,30,35,38,38,38,34,,45,41,,32
Growth,7,15,1,B,1,30,38,37,42,37,51,46,49,49,60,40,38,52,18,31,38,,,49,49,40,46,44,35,32,35,39,41,38,34,39,40,42,39,30
Growth,7,15,1,B,2,,,,40,,44,,,42,41,40,,40,,,36,,,44,56,,41,41,,,,,42,36,34,37,42,43,46,32
Growth,7,15,1,B,3,,,,42,,49,,,44,50,41,,45,,,39,,,39,44,,44,41,,,,,41,35,36,39,41,43,47,31
Growth,7,15,1,C,1,29,38,38,42,39,46,45,44,42,51,35,40,46,28,39,38,,,29,44,38,,,35,26,45,37,41,35,,39,45,42,42,34
Growth,7,15,1,C,2,,,,37,,45,,,50,48,,,,,,37,,,36,44,,,,,,,,41,39,,39,45,40,,30
Growth,7,15,1,C,3,,,,45,,46,,,46,42,,,,,,38,,,31,44,,,,,,,,41,37,,39,47,44,,34
Growth,7,15,1,D,1,31,,36,41,36,50,,,43,50,37,34,,24,,40,,,35,46,,55,40,33,27,,40,40,34,,38,45,40,,34
Growth,7,15,1,D,2,,,,38,,45,,,49,44,,,,26,,37,,,39,46,,40,41,,,,,40,37,,37,50,43,,30
Growth,7,15,1,D,3,,,,42,,50,,,45,44,,,,25,,40,,,41,48,,41,41,,,,,40,38,,37,45,39,,33
Proteolysis,7,15,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0
Proteolysis,7,15,1,A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0
Proteolysis,7,15,1,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0
Proteolysis,7,15,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Proteolysis,7,15,1,B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Proteolysis,7,15,1,B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Proteolysis,7,15,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,2,0,,0,0,0,0,0
Proteolysis,7,15,1,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,2,0,,0,0,0,0,0
Proteolysis,7,15,1,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,2,0,,0,0,0,0,0
Proteolysis,7,15,1,D,1,0,,0,0,0,0,,,0,0,0,0,,0,,0,,,0,0,,0,0,0,0,,0,2,0,,0,0,0,,0
Proteolysis,7,15,1,D,2,0,,0,0,0,0,,,0,0,0,0,,0,,0,,,0,0,,0,0,0,0,,0,1,0,,0,0,0,,0
Proteolysis,7,15,1,D,3,0,,0,0,0,0,,,0,0,0,0,,0,,0,,,0,0,,0,0,0,0,,0,2,0,,0,0,0,,0
Growth,7,25,1,A,1,40,53,43,60,57,58,55,58,,57,50,51,56,32,60,55,,,57,57,52,61,,45,45,52,58,49,43,49,59,60,51,50,
Growth,7,25,1,A,2,38,52,,58,52,55,62,57,,55,57,56,55,,58,52,,,52,60,,48,,55,51,48,58,50,41,48,57,55,51,48,
Growth,7,25,1,A,3,38,54,,57,53,56,65,58,,48,49,52,55,,60,51,,,65,58,,41,,49,46,51,58,50,40,49,58,53,53,48,
Growth,7,25,1,B,1,37,55,38,58,53,51,55,55,,60,52,,55,34,62,44,,,,59,61,45,54,43,45,50,57,45,51,,,54,54,51,40
Growth,7,25,1,B,2,,,,58,,57,,,,50,50,,,,,35,,,,58,58,60,53,49,,,,33,,,,54,52,,50
Growth,7,25,1,B,3,,,,57,,54,,,,55,52,,,,,42,,,,61,56,46,52,51,,,,46,,,,53,53,,41
Growth,7,25,1,C,1,40,55,42,58,52,66,62,56,,45,46,56,,38,55,49,,,60,58,62,,51,47,44,54,57,48,52,48,58,55,50,46,
Growth,7,25,1,C,2,,,,58,,60,,,,47,,,,40,,50,,,60,59,,,50,,,,,44,,49,61,54,52,,
Growth,7,25,1,C,3,,,,60,,65,,,,50,,,,42,,50,,,65,57,,,51,,,,,47,,49,60,55,51,,
Growth,7,25,1,D,1,37,,40,60,54,61,,,,57,48,52,53,32,,57,,,56,61,,54,52,46,44,,54,56,45,,58,52,49,,47
Growth,7,25,1,D,2,,,41,57,,58,,,,52,,,,,,52,,,56,63,,62,54,,,,,50,,,59,59,49,,48
Growth,7,25,1,D,3,,,40,60,,60,,,,56,,,,,,53,,,54,60,,50,52,,,,,55,,,59,58,51,,50
Proteolysis,7,25,1,A,1,0,0,0,29,34,0,50,0,,48,0,32,0,0,49,0,,,0,0,0,0,,0,0,0,0,2,0,0,44,65,0,41,
Proteolysis,7,25,1,A,2,0,0,0,26,46,0,45,0,,39,0,32,0,0,47,0,,,0,0,0,0,,0,0,0,0,3,0,0,45,63,0,41,
Proteolysis,7,25,1,A,3,0,0,0,28,39,0,45,0,,41,0,30,0,0,49,0,,,0,0,0,0,,0,0,0,0,1,0,0,44,65,0,41,
Proteolysis,7,25,1,B,1,0,0,0,28,40,0,54,0,,50,0,,0,0,45,0,,,,0,0,0,0,0,0,0,0,1,0,,,63,3,44,0
Proteolysis,7,25,1,B,2,0,0,0,30,41,0,45,0,,38,0,,0,0,47,0,,,,0,0,0,0,0,0,0,0,1,0,,,61,6,40,0
Proteolysis,7,25,1,B,3,0,0,0,33,38,0,50,0,,43,0,,0,0,45,0,,,,0,0,0,0,0,0,0,0,1,0,,,65,6,41,0
Proteolysis,7,25,1,C,1,0,0,0,33,45,0,55,0,,40,0,32,,0,46,0,,,0,0,0,,0,0,0,0,0,2,0,0,48,0,5,39,
Proteolysis,7,25,1,C,2,0,0,0,33,42,0,60,0,,38,0,30,,0,46,0,,,0,0,0,,0,0,0,0,0,2,0,0,47,0,6,37,
Proteolysis,7,25,1,C,3,0,0,0,33,43,0,55,0,,39,0,28,,0,46,0,,,0,0,0,,0,0,0,0,0,1,0,0,42,0,5,40,
Proteolysis,7,25,1,D,1,0,,0,32,39,0,,,,46,0,34,0,0,,0,,,0,0,,0,0,0,0,,0,0,0,,45,65,5,,0
Proteolysis,7,25,1,D,2,0,,0,32,40,0,,,,45,0,35,0,0,,0,,,0,0,,0,0,0,0,,0,0,0,,47,63,4,,0
Proteolysis,7,25,1,D,3,0,,0,34,36,0,,,,41,0,36,0,0,,0,,,0,0,,0,0,0,0,,0,0,0,,45,70,5,,0
Growth,14,15,1,A,1,52,73,,75,71,77,71,65,68,78,68,65,,49,70,70,,,67,77,75,71,79,68,61,65,72,,72,65,,76,73,73,60
Growth,14,15,1,A,2,,70,,75,71,,70,68,64,76,,61,,46,70,68,,,70,77,70,65,78,65,55,62,,,70,63,,76,75,70,57
Growth,14,15,1,A,3,,70,,75,74,,70,68,66,77,,61,,50,70,70,,,70,78,74,72,79,67,59,65,,,72,65,,75,73,70,60
Growth,14,15,1,B,1,52,70,72,78,74,75,67,67,70,78,66,71,75,51,60,73,,,77,80,70,70,65,69,58,62,70,74,68,65,,77,75,70,
Growth,14,15,1,B,2,,,56,,,76,,,66,78,,,75,,,72,,,75,78,,67,66,,63,,,73,,64,,75,74,,
Growth,14,15,1,B,3,,,67,,,77,,,65,78,,,77,,,70,,,75,75,,67,63,,58,,,75,,66,,76,76,,
Growth,14,15,1,C,1,53,73,65,73,75,75,70,68,61,78,66,72,73,47,75,68,,,55,74,71,,,67,54,62,69,74,70,,74,70,72,73,
Growth,14,15,1,C,2,,,,,,,,,66,79,,,,,,65,,,62,75,,,,,,,72,52,,,74,72,74,,
Growth,14,15,1,C,3,,,,,,,,,67,78,,,,,,42,,,63,74,,,,,,,71,75,,,73,69,72,,
Growth,14,15,1,D,1,56,72,51,75,75,78,,,69,80,66,72,75,47,,69,,,69,74,,70,75,66,52,,70,74,72,,72,75,75,,58
Growth,14,15,1,D,2,55,,,,,,,,68,80,66,,,,,68,,,71,75,,65,77,,,,,74,,,74,77,74,,59
Growth,14,15,1,D,3,54,,,,,,,,65,80,64,,,,,57,,,77,75,,69,77,,,,,74,,,71,78,74,,57
Proteolysis,14,15,1,A,1,0,0,,50,0,0,0,0,0,58,0,0,,0,52,0,,,0,0,0,0,0,0,0,0,0,,50,0,,0,37,0,0
Proteolysis,14,15,1,A,2,0,0,,44,0,0,0,0,0,45,0,0,,0,48,0,,,0,0,0,0,0,0,0,0,0,,53,0,,0,40,0,0
Proteolysis,14,15,1,A,3,0,0,,45,0,0,0,0,0,50,0,0,,0,50,0,,,0,0,0,0,0,0,0,0,0,,48,0,,0,38,0,0
Proteolysis,14,15,1,B,1,0,0,0,,0,51,0,0,0,64,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,47,0,,0,36,0,
Proteolysis,14,15,1,B,2,0,0,0,,0,46,0,0,0,49,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,47,0,,0,40,0,
Proteolysis,14,15,1,B,3,0,0,0,,0,50,0,0,0,52,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,46,0,,0,40,0,
Proteolysis,14,15,1,C,1,0,0,0,42,0,0,0,0,0,55,0,0,0,0,0,0,,,,0,0,,,0,0,0,0,0,44,,39,0,39,0,
Proteolysis,14,15,1,C,2,0,0,0,42,0,0,0,0,0,49,0,0,0,0,0,0,,,,0,0,,,0,0,0,0,0,53,,40,0,38,0,
Proteolysis,14,15,1,C,3,0,0,0,40,0,0,0,0,0,49,0,0,0,0,0,0,,,,0,0,,,0,0,0,0,0,45,,45,0,42,0,
Proteolysis,14,15,1,D,1,0,0,0,42,0,0,,,0,51,0,0,0,0,,0,,,0,0,,0,0,0,0,,0,0,45,,49,0,38,,0
Proteolysis,14,15,1,D,2,0,0,0,41,0,0,,,0,48,0,0,0,0,,0,,,0,0,,0,0,0,0,,0,0,45,,49,0,40,,0
Proteolysis,14,15,1,D,3,0,0,0,41,0,0,,,0,51,0,0,0,0,,0,,,0,0,,0,0,0,0,,0,0,42,,47,0,39,,0
Growth,14,25,1,A,1,55,65,48,65,62,78,65,56,67,60,50,60,68,36,60,60,,,66,66,68,63,,56,50,64,77,70,58,63,67,75,62,,
Growth,14,25,1,A,2,,65,50,65,56,73,60,57,58,51,,57,68,,64,64,,,62,69,72,50,,62,59,62,,73,60,65,66,78,61,,
Growth,14,25,1,A,3,,65,48,64,60,75,65,57,60,47,,61,68,,60,61,,,67,65,70,41,,62,52,60,,68,56,65,66,76,59,,
Growth,14,25,1,B,1,50,63,45,65,60,73,64,60,57,63,52,,70,35,60,41,,,,68,70,65,57,52,52,60,79,64,61,,,75,57,51,60
Growth,14,25,1,B,2,,,,,,,,,57,55,,,,,,51,,,,69,,52,62,,,,,35,,,,74,58,50,50
Growth,14,25,1,B,3,,,,,,,,,72,63,,,,,,50,,,,68,,50,59,,,,,51,,,,72,59,51,54
Growth,14,25,1,C,1,54,68,51,65,54,60,66,60,,55,46,56,68,40,60,60,,,73,68,67,,,56,49,63,78,46,60,65,69,73,56,49,
Growth,14,25,1,C,2,,,,,,,,,,51,,,,40,,60,,,70,71,,,,,,,,66,,64,70,73,59,,
Growth,14,25,1,C,3,,,,,,,,,,51,,,,41,,60,,,73,68,,,,,,,,49,,63,70,73,56,,
Growth,14,25,1,D,1,50,66,,65,61,75,,,55,50,49,55,,35,,60,,,61,69,,54,62,57,50,,78,67,58,,67,74,52,50,64
Growth,14,25,1,D,2,52,,,,,,,,61,55,48,,,,,62,,,67,69,,65,60,,,,77,75,,,66,72,56,,62
Growth,14,25,1,D,3,53,,,,,,,,65,57,56,,,,,60,,,64,68,,65,59,,,,74,73,,,67,74,54,,58
Proteolysis,14,25,1,A,1,0,0,0,50,58,0,60,45,0,63,0,46,0,0,68,0,,,0,0,0,0,,0,0,45,0,0,33,4,65,56,0,,
Proteolysis,14,25,1,A,2,0,0,0,48,63,0,67,47,0,55,0,53,0,0,68,0,,,0,0,0,0,,0,0,40,0,0,31,3,65,60,0,,
Proteolysis,14,25,1,A,3,0,0,0,50,59,0,60,45,0,50,0,46,0,0,66,0,,,0,0,0,0,,0,0,45,0,0,32,10,65,57,0,,
Proteolysis,14,25,1,B,1,0,0,0,41,62,0,63,45,0,60,0,,0,0,64,0,,,,0,0,0,0,0,0,35,0,0,43,,,55,0,53,0
Proteolysis,14,25,1,B,2,0,0,0,41,61,0,65,44,0,56,0,,0,0,65,0,,,,0,0,0,0,0,0,40,0,0,45,,,57,0,50,0
Proteolysis,14,25,1,B,3,0,0,0,41,60,0,60,45,0,41,0,,0,0,60,0,,,,0,0,0,0,0,0,36,0,0,43,,,57,0,50,0
Proteolysis,14,25,1,C,1,0,0,0,49,64,0,60,45,,60,0,48,0,0,65,0,,,0,0,0,,,0,0,55,0,0,51,0,70,64,0,57,
Proteolysis,14,25,1,C,2,0,0,0,50,62,0,66,43,,54,0,51,0,0,67,0,,,0,0,0,,,0,0,50,0,0,58,0,70,64,0,56,
Proteolysis,14,25,1,C,3,0,0,0,48,61,0,60,50,,49,0,49,0,0,67,0,,,0,0,0,,,0,0,54,0,0,57,0,68,64,0,55,
Proteolysis,14,25,1,D,1,0,0,,45,60,0,,,0,60,0,48,,0,,0,,,0,0,,0,0,0,0,,0,0,34,,66,52,0,53,0
Proteolysis,14,25,1,D,2,0,0,,45,63,0,,,0,53,0,49,,0,,0,,,0,0,,0,0,0,0,,0,0,34,,65,58,0,54,0
Proteolysis,14,25,1,D,3,0,0,,45,62,0,,,0,54,0,50,,0,,0,,,0,0,,0,0,0,0,,0,0,36,,66,51,0,60,0
Growth,21,15,1,A,1,70,72,,80,85,78,80,80,85,75,75,67,78,66,80,75,,,85,85,74,67,85,75,77,70,78,,75,85,,85,85,70,70
Growth,21,15,1,A,2,72,75,,80,85,,85,80,85,76,,74,78,66,80,75,,,85,85,73,71,85,75,,70,78,,73,85,,85,85,,63
Growth,21,15,1,A,3,70,76,,78,85,,83,80,85,72,,70,78,66,80,75,,,85,85,75,71,85,75,,68,79,,70,85,,85,85,,70
Growth,21,15,1,B,1,70,77,85,77,76,80,75,80,85,78,75,73,77,68,70,73,,,85,85,77,78,85,75,79,67,82,75,68,85,,85,85,75,
Growth,21,15,1,B,2,,,85,,,80,,,85,80,,,,,,78,,,85,85,,75,85,,78,,,75,,,,85,85,75,
Growth,21,15,1,B,3,,,85,,,78,,,85,78,,,,,,78,,,85,85,,72,85,,78,,,75,,,,85,85,75,
Growth,21,15,1,C,1,70,78,85,77,77,78,73,80,85,77,73,77,76,64,78,73,,,60,85,75,,,70,75,74,81,55,75,,85,85,85,76,
Growth,21,15,1,C,2,,,,,,,,,85,78,75,,,,,65,,,61,85,,,,,,,,75,,,85,85,85,,
Growth,21,15,1,C,3,,,,,,,,,85,78,75,,,,,55,,,65,85,,,,,,,,78,,,85,85,85,,
Growth,21,15,1,D,1,,,85,76,76,76,80,,85,77,,73,,,,73,,,85,85,,73,85,,77,,81,75,,,85,85,85,,70
Growth,21,15,1,D,2,,,,,,,,,85,78,,,,,,47,,,85,85,,71,85,,,,,75,,,,85,85,,
Growth,21,15,1,D,3,,,,,,,,,85,80,,,,,,70,,,85,85,,73,85,,,,,75,,,,85,85,,
Proteolysis,21,15,1,A,1,0,0,,0,0,0,0,60,0,0,50,0,32,0,75,0,,,0,55,0,0,0,0,0,45,0,,75,0,,0,58,60,0
Proteolysis,21,15,1,A,2,0,0,,0,0,0,0,65,0,0,40,0,30,0,75,0,,,0,50,0,0,0,0,0,44,0,,75,0,,0,57,50,0
Proteolysis,21,15,1,A,3,0,0,,0,0,0,0,57,0,0,50,0,30,0,64,0,,,0,50,0,0,0,0,0,42,0,,75,0,,0,57,55,0
Proteolysis,21,15,1,B,1,0,0,0,0,0,0,0,57,0,0,45,0,30,0,0,0,,,0,52,0,0,0,0,0,45,0,35,72,0,,0,54,40,
Proteolysis,21,15,1,B,2,0,0,0,0,0,0,0,60,0,0,33,0,30,0,0,0,,,0,50,0,0,0,0,0,45,0,30,66,0,,0,59,35,
Proteolysis,21,15,1,B,3,0,0,0,0,0,0,0,57,0,0,40,0,30,0,0,0,,,0,51,0,0,0,0,0,45,0,37,65,0,,0,59,35,
Proteolysis,21,15,1,C,1,0,0,0,0,0,0,0,62,0,0,33,0,30,0,0,0,,,6,56,50,,,0,0,40,0,33,75,,0,0,62,45,
Proteolysis,21,15,1,C,2,0,0,0,0,0,0,0,56,0,0,40,0,30,0,0,0,,,6,60,50,,,0,0,40,0,32,67,,0,0,53,40,
Proteolysis,21,15,1,C,3,0,0,0,0,0,0,0,60,0,0,40,0,30,0,0,0,,,5,57,50,,,0,0,45,,33,75,,0,0,61,40,
Proteolysis,21,15,1,D,1,,,0,0,0,0,0,,0,0,,0,,,,0,,,0,50,,0,0,,0,,0,34,,,0,0,62,,0
Proteolysis,21,15,1,D,2,,,0,0,0,0,0,,0,0,,0,,,,0,,,0,45,,0,0,,0,,0,34,,,0,0,60,,0
Proteolysis,21,15,1,D,3,,,0,0,0,0,0,,0,0,,0,,,,0,,,0,45,,0,0,,0,,0,36,,,0,0,61,,0
Growth,21,25,1,A,1,60,63,60,65,62,63,75,62,58,,52,53,70,36,62,65,,,77,65,75,58,,60,51,62,79,75,55,75,66,85,58,,
Growth,21,25,1,A,2,54,64,55,62,65,65,73,60,60,,58,61,,,65,64,,,75,68,75,60,,55,56,63,79,75,64,75,66,85,58,,
Growth,21,25,1,A,3,56,64,57,64,60,65,73,62,68,,52,58,,,62,63,,,75,71,75,45,,57,56,60,80,73,55,75,66,85,57,,
Growth,21,25,1,B,1,53,64,52,65,63,60,76,60,52,63,52,,68,35,60,52,,,70,70,75,67,62,51,53,60,81,63,55,,,78,58,48,56
Growth,21,25,1,B,2,,,,,,,,,60,55,,,67,,,58,,,72,70,,53,58,,,,,40,,,,80,59,52,
Growth,21,25,1,B,3,,,,,,,,,68,61,,,70,,,53,,,72,69,,55,60,,,,,69,,,,80,58,50,
Growth,21,25,1,C,1,55,67,57,65,57,67,75,63,,62,47,56,,41,64,63,,,75,70,70,,,61,51,67,80,70,54,75,70,79,56,49,
Growth,21,25,1,C,2,,,,,,,,,,56,,,,43,,60,,,72,69,,,,,,,,49,,,,79,56,,
Growth,21,25,1,C,3,,,,,,,,,,53,,,,40,,60,,,74,75,,,,,,,,74,,,,78,55,,
Growth,21,25,1,D,1,,,52,66,64,64,,,58,56,,55,63,,,61,,,67,67,,67,60,,53,,78,72,,,67,80,65,54,62
Growth,21,25,1,D,2,,,,,,,,,62,60,,55,,,,60,,,72,69,,57,62,,,,,75,,,,82,64,,60
Growth,21,25,1,D,3,,,,,,,,,62,60,,55,,,,60,,,69,69,,55,61,,,,,77,,,,80,64,,58
Proteolysis,21,25,1,A,1,0,0,0,60,85,30,0,50,0,,0,62,0,0,85,0,,,0,12,0,0,,0,0,43,0,0,60,0,50,74,0,,
Proteolysis,21,25,1,A,2,0,0,0,57,85,30,0,51,0,,0,60,0,0,85,0,,,0,7,0,0,,0,0,47,0,0,63,0,50,74,0,,
Proteolysis,21,25,1,A,3,0,0,0,57,85,26,0,53,0,,0,63,0,0,85,0,,,0,8,0,0,,0,0,47,0,0,65,0,51,74,0,,
Proteolysis,21,25,1,B,1,0,0,0,48,85,32,85,60,0,70,0,,0,0,60,0,,,0,13,0,0,0,0,0,43,0,0,68,,,73,0,57,0
Proteolysis,21,25,1,B,2,0,0,0,46,85,31,85,63,0,68,0,,0,0,74,0,,,0,6,0,0,0,0,0,44,0,0,63,,,72,0,70,0
Proteolysis,21,25,1,B,3,0,0,0,50,85,30,85,60,0,60,0,,0,0,65,0,,,0,12,0,0,0,0,0,45,0,0,65,,,74,0,60,0
Proteolysis,21,25,1,C,1,0,0,0,53,85,36,85,45,,63,0,61,,0,85,0,,,0,17,0,,,0,0,56,0,0,,0,57,79,0,63,
Proteolysis,21,25,1,C,2,0,0,0,60,85,35,85,37,,62,0,62,,0,85,0,,,0,13,0,,,0,0,53,0,0,,0,56,79,0,65,
Proteolysis,21,25,1,C,3,0,0,0,55,85,33,85,40,,63,0,62,,0,85,0,,,0,3,0,,,0,0,55,0,0,,0,57,80,0,65,
Proteolysis,21,25,1,D,1,,,0,49,85,,,,0,63,,61,0,,,0,,,0,0,,0,0,,0,,0,0,63,,49,75,0,70,0
Proteolysis,21,25,1,D,2,,,0,47,85,,,,0,65,,59,0,,,0,,,0,0,,0,0,,0,,0,0,63,,48,75,0,65,0
Proteolysis,21,25,1,D,3,,,0,50,85,,,,0,66,,59,0,,,0,,,0,0,,0,0,,0,,0,0,60,,49,80,0,57,0
